Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Price to Sales,Return on equity,Return on capital employed,Debt to equity,Sales,Sales preceding year,Profit after tax,Profit after tax preceding year,EPS growth 3Years,OPM,NPM last year,Interest Coverage Ratio,Promoter holding,FII holding,DII holding,Return over 1year,Return over 3years,Return over 5years
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,707.75,6419.71,26.78,3.14,3.37,14.54,17.44,0.32,1906.08,1852.61,239.75,216.49,,23.18,12.88,10.39,42.88,8.02,6.95,7.62,,
ACME Solar Hold.,544283,ACMESOLAR,Power,Power Generation,218.41,13221.93,26.13,2.76,7.29,7.57,8.42,2.72,1814.63,1319.25,506.05,126.60,30.40,88.23,19.05,1.72,83.41,5.57,6.39,-22.25,,
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1735.40,14198.14,63.40,10.05,12.94,16.00,19.92,0.01,1096.91,717.47,223.96,59.42,25.22,27.34,15.93,120.69,32.66,16.84,22.59,53.56,51.84,
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1497.70,324057.66,27.00,4.82,9.33,18.76,13.80,0.85,34745.59,26710.56,12001.54,8872.53,26.39,59.41,35.31,4.81,65.89,13.61,15.03,16.22,19.02,26.98
Amber Enterp.,540902,AMBER,Consumer Durables,Household Appliances,7026.50,24723.11,110.89,6.77,2.25,11.28,14.49,0.77,10983.17,6729.27,222.95,133.87,29.98,6.97,2.54,2.40,38.22,30.61,20.20,16.76,51.72,24.74
Anant Raj,515055,ANANTRAJ,Realty,"Residential, Commercial Projects",553.35,19913.79,40.40,4.32,8.66,10.89,11.17,0.13,2298.49,1483.30,492.96,260.88,88.28,25.86,20.68,53.74,57.35,13.68,5.93,-22.68,75.77,82.54
Apar Inds.,532259,APARINDS,Electrical Equipment,Other Electrical Equipment,8719.00,35038.70,37.30,7.22,1.69,19.50,32.70,0.14,20745.76,16152.98,939.50,819.95,45.84,8.33,4.40,4.08,57.77,9.24,22.64,-14.48,76.85,89.04
Astra Microwave,532493,ASTRAMICRO,Aerospace & Defense,Aerospace & Defense,902.80,8567.01,53.18,7.37,7.93,14.43,18.72,0.24,1080.71,908.82,161.09,121.07,53.54,26.22,14.17,4.44,6.54,6.47,14.55,10.94,43.07,50.29
Ather Energy,544397,ATHERENERG,Automobiles,2/3 Wheelers,682.30,26038.62,,9.54,9.12,-156.50,-65.71,0.16,2854.50,1753.80,-764.50,-885.20,25.97,-20.32,-36.02,-6.50,41.22,23.61,23.60,,,
Aurionpro Sol.,532668,AURIONPRO,IT - Software,Computers - Software & Consulting,1078.20,5956.95,29.30,3.71,4.49,15.30,18.07,0.02,1327.55,887.47,203.33,140.75,29.54,20.33,16.06,40.97,26.88,15.55,1.89,-31.26,83.88,94.33
